exchange,order_id,side,qty,filled,remaining,price,created
KuCoin,69e7b8b21bcef40007e2cb2a,SELL,156.0,0.0,156.0,0.01406,2026-04-21 19:49:38
MEXC,C02__675327639283482624119,SELL,153.0,0.0,153.0,0.01301,2026-04-21 19:34:52
MEXC,C02__675327628483162112119,SELL,153.0,100.94,52.06,0.01301,2026-04-21 19:34:49
MEXC,C02__675327616802025473119,SELL,152.0,104.04,47.959999999999994,0.01305,2026-04-21 19:34:46
MEXC,C02__675327604902776832119,SELL,151.0,93.52,57.480000000000004,0.01311,2026-04-21 19:34:43
MEXC,C02__675327592986767362119,SELL,150.0,98.28,51.72,0.01324,2026-04-21 19:34:41
MEXC,C02__604934470013022210119,SELL,1222.49,0.0,1222.49,0.035,2025-10-09 13:37:32
MEXC,C02__604727110787084289119,SELL,200.0,0.0,200.0,0.039,2025-10-08 23:53:34
MEXC,C02__604577397454643204119,SELL,68.16,0.0,68.16,0.04,2025-10-08 13:58:39
MEXC,C02__604547777795690498119,SELL,63.44,0.0,63.44,0.04,2025-10-08 12:00:58
MEXC,C02__604530227045187588119,SELL,71.86,0.0,71.86,0.04,2025-10-08 10:51:13
MEXC,C02__604525753761210372119,SELL,68.14,0.0,68.14,0.04,2025-10-08 10:33:27
MEXC,C02__604525451645501440119,SELL,70.95,0.0,70.95,0.04,2025-10-08 10:32:15
MEXC,C02__604520888125304833119,SELL,2500.0,0.0,2500.0,0.043,2025-10-08 10:14:07
MEXC,C02__604520841912496128119,SELL,2500.0,0.0,2500.0,0.041,2025-10-08 10:13:56
MEXC,C02__604497809064005632119,SELL,66.37,0.0,66.37,0.04,2025-10-08 08:42:24
MEXC,C02__604493196277551106119,SELL,67.35,0.0,67.35,0.04,2025-10-08 08:24:04
MEXC,C02__602831315292901376119,SELL,4500.0,0.0,4500.0,0.0672,2025-10-03 18:20:21
MEXC,C02__602831269017128966119,SELL,4500.0,0.0,4500.0,0.0448,2025-10-03 18:20:10
MEXC,C02__602830230033477632119,SELL,2012.52,0.0,2012.52,0.04482,2025-10-03 18:16:02
MEXC,C02__602786872820977665119,SELL,100.0,0.0,100.0,0.04474,2025-10-03 15:23:45
MEXC,C02__602743128600027144119,SELL,5500.0,0.0,5500.0,0.06624,2025-10-03 12:29:56
MEXC,C02__602743084706672640119,SELL,5500.0,0.0,5500.0,0.04416,2025-10-03 12:29:45
MEXC,C02__602741485846392835119,SELL,100.0,0.0,100.0,0.0445,2025-10-03 12:23:24
MEXC,C02__602740705064079365119,SELL,65.52,0.0,65.52,0.04478,2025-10-03 12:20:18
MEXC,C02__602740417414553601119,SELL,59.85,0.0,59.85,0.04464,2025-10-03 12:19:09
MEXC,C02__598760354750771201119,SELL,824.01,0.0,824.01,0.05,2025-09-22 12:43:48
MEXC,C02__598759794454568961119,SELL,368.77,0.0,368.77,0.04838,2025-09-22 12:41:35
MEXC,C02__598754495375196166119,SELL,58.82,0.0,58.82,0.04784,2025-09-22 12:20:31
MEXC,C02__598085127276429314119,SELL,405.38,0.0,405.38,0.04976,2025-09-20 16:00:42
MEXC,C02__597880278538616838119,SELL,469.66,0.0,469.66,0.0487,2025-09-20 02:26:42
MEXC,C02__597710504634429440119,SELL,395.04,0.0,395.04,0.05108,2025-09-19 15:12:05
MEXC,C02__597710414968594433119,SELL,51.37,0.0,51.37,0.05102,2025-09-19 15:11:43
MEXC,C02__597706681169842178119,SELL,402.43,0.0,402.43,0.0501,2025-09-19 14:56:53
MEXC,C02__597706572763873282119,SELL,402.43,0.0,402.43,0.05024,2025-09-19 14:56:27
MEXC,C02__597706472524197888119,SELL,51.97,0.0,51.97,0.051,2025-09-19 14:56:03
MEXC,C02__597706346858651648119,SELL,52.16,0.0,52.16,0.05076,2025-09-19 14:55:33
MEXC,C02__597706060899409920119,SELL,53.48,0.0,53.48,0.05036,2025-09-19 14:54:25
MEXC,C02__597705597588164613119,SELL,53.33,0.0,53.33,0.04972,2025-09-19 14:52:35
MEXC,C02__597705501530226688119,SELL,53.33,0.0,53.33,0.0495,2025-09-19 14:52:12
MEXC,C02__597705324010508288119,SELL,58.79,0.0,58.79,0.04914,2025-09-19 14:51:29
MEXC,C02__597703288984563712119,SELL,56.15,0.0,56.15,0.04902,2025-09-19 14:43:24
MEXC,C02__597703180666609667119,SELL,55.91,0.0,55.91,0.04879,2025-09-19 14:42:58
MEXC,C02__597683291893624832119,SELL,415.26,0.0,415.26,0.04882,2025-09-19 13:23:57
MEXC,C02__597683135857111040119,SELL,414.74,0.0,414.74,0.04882,2025-09-19 13:23:19
MEXC,C02__597666952080637953119,SELL,412.82,0.0,412.82,0.04882,2025-09-19 12:19:01
MEXC,C02__597666758664495104119,SELL,413.5,0.0,413.5,0.04884,2025-09-19 12:18:15
MEXC,C02__597666600136593412119,SELL,412.83,0.0,412.83,0.049,2025-09-19 12:17:37
MEXC,C02__597666184053202944119,SELL,411.42,0.0,411.42,0.0491,2025-09-19 12:15:58
MEXC,C02__597665846013325316119,SELL,409.0,0.0,409.0,0.04926,2025-09-19 12:14:37
MEXC,C02__597656725646041090119,SELL,404.95,0.0,404.95,0.04988,2025-09-19 11:38:23
MEXC,C02__597656458263384064119,SELL,404.75,0.0,404.75,0.04978,2025-09-19 11:37:19
MEXC,C02__597639671912161280119,SELL,414.42,0.0,414.42,0.04872,2025-09-19 10:30:37
MEXC,C02__597639582040813568119,SELL,413.99,0.0,413.99,0.04872,2025-09-19 10:30:15
MEXC,C02__597639508200091649119,SELL,414.51,0.0,414.51,0.04872,2025-09-19 10:29:58
MEXC,C02__597639449622462464119,SELL,413.77,0.0,413.77,0.0487,2025-09-19 10:29:44
MEXC,C02__597639259557568514119,SELL,414.81,0.0,414.81,0.0487,2025-09-19 10:28:58
MEXC,C02__597639170864828416119,SELL,415.21,0.0,415.21,0.0487,2025-09-19 10:28:37
MEXC,C02__597638952198987777119,SELL,414.56,0.0,414.56,0.04872,2025-09-19 10:27:45
MEXC,C02__597638846410207232119,SELL,413.96,0.0,413.96,0.0487,2025-09-19 10:27:20
MEXC,C02__597638347980136449119,SELL,413.96,0.0,413.96,0.0487,2025-09-19 10:25:21
MEXC,C02__597638089346654208119,SELL,413.49,0.0,413.49,0.0487,2025-09-19 10:24:19
MEXC,C02__597637981733462020119,SELL,414.25,0.0,414.25,0.0487,2025-09-19 10:23:54
MEXC,C02__597637878293540867119,SELL,413.7,0.0,413.7,0.0487,2025-09-19 10:23:29
MEXC,C02__597637541046378496119,SELL,413.56,0.0,413.56,0.0487,2025-09-19 10:22:09
MEXC,C02__597637384280068096119,SELL,413.87,0.0,413.87,0.0487,2025-09-19 10:21:31
MEXC,C02__597637228608479232119,SELL,413.99,0.0,413.99,0.0487,2025-09-19 10:20:54
MEXC,C02__597637114124914688119,SELL,413.82,0.0,413.82,0.04872,2025-09-19 10:20:27
MEXC,C02__597637023389536258119,SELL,414.16,0.0,414.16,0.04872,2025-09-19 10:20:05
MEXC,C02__597636874357534721119,SELL,522.98,0.0,522.98,0.04872,2025-09-19 10:19:30
MEXC,C02__597636254137434114119,SELL,415.28,0.0,415.28,0.0487,2025-09-19 10:17:02
MEXC,C02__597636182997835776119,SELL,414.37,0.0,414.37,0.0487,2025-09-19 10:16:45
MEXC,C02__597636085803249664119,SELL,415.11,0.0,415.11,0.0487,2025-09-19 10:16:22
MEXC,C02__597635453163761664119,SELL,415.04,0.0,415.04,0.0487,2025-09-19 10:13:51
MEXC,C02__597635310133809153119,SELL,415.1,0.0,415.1,0.0487,2025-09-19 10:13:17
MEXC,C02__597635212423286791119,SELL,415.07,0.0,415.07,0.0487,2025-09-19 10:12:54
MEXC,C02__597635079509987329119,SELL,413.95,0.0,413.95,0.0487,2025-09-19 10:12:22
MEXC,C02__597635002624217090119,SELL,413.99,0.0,413.99,0.04868,2025-09-19 10:12:04
MEXC,C02__597634854401708033119,SELL,414.46,0.0,414.46,0.04868,2025-09-19 10:11:28
MEXC,C02__597634763615993856119,SELL,413.91,0.0,413.91,0.04866,2025-09-19 10:11:07
MEXC,C02__597634502294073344119,SELL,413.86,0.0,413.86,0.04866,2025-09-19 10:10:04
MEXC,C02__597634272270086155119,SELL,413.74,0.0,413.74,0.04866,2025-09-19 10:09:09
MEXC,C02__597634147988615168119,SELL,413.85,0.0,413.85,0.04866,2025-09-19 10:08:40
MEXC,C02__597633954954199041119,SELL,415.28,0.0,415.28,0.04864,2025-09-19 10:07:54
MEXC,C02__597633775236661248119,SELL,416.08,0.0,416.08,0.04862,2025-09-19 10:07:11
MEXC,C02__597633665530454017119,SELL,57.54,0.0,57.54,0.04842,2025-09-19 10:06:45
MEXC,C02__597633496885829632119,SELL,52.65,0.0,52.65,0.0481,2025-09-19 10:06:05
MEXC,C02__597633079263109122119,SELL,2767.05,0.0,2767.05,0.048,2025-09-19 10:04:25
MEXC,C02__573401446402289664119,SELL,10000.0,0.0,10000.0,0.07,2025-07-14 13:16:33
MEXC,C02__573401362340044802119,SELL,10000.0,0.0,10000.0,0.065,2025-07-14 13:16:13
MEXC,C02__573401283097067520119,SELL,10000.0,0.0,10000.0,0.06,2025-07-14 13:15:55
MEXC,C02__573401209453445122119,SELL,10000.0,0.0,10000.0,0.05,2025-07-14 13:15:37
MEXC,C02__573401089718628352119,SELL,8699.2,0.0,8699.2,0.045,2025-07-14 13:15:08
